time_stamp,cpu_percent
17:18:49.226,1.0
17:18:50.228,0.2
17:18:51.229,0.2
17:18:52.230,0.3
17:18:53.230,0.2
17:18:54.231,0.2
17:18:55.232,0.2
17:18:56.233,0.2
17:18:57.234,0.2
17:18:58.235,0.2
17:18:59.235,0.2
17:19:00.236,1.2
17:19:01.237,0.2
17:19:02.238,0.3
17:19:03.239,0.2
17:19:04.240,0.2
17:19:05.241,0.2
17:19:06.242,0.3
17:19:07.242,0.3
17:19:08.243,0.2
17:19:09.244,0.2
17:19:10.245,0.2
17:19:11.246,0.2
17:19:12.247,0.2
17:19:13.248,0.3
17:19:14.249,0.2
17:19:15.250,0.3
17:19:16.250,0.7
17:19:17.252,0.5
17:19:18.252,0.4
17:19:19.253,3.7
17:19:20.254,2.4
17:19:21.255,5.3
17:19:22.256,5.5
17:19:23.257,4.6
17:19:24.258,4.8
17:19:25.258,4.7
17:19:26.259,5.2
17:19:27.259,5.0
17:19:28.261,4.4
17:19:29.262,4.5
17:19:30.263,4.7
17:19:31.264,4.7
17:19:32.265,4.5
17:19:33.266,4.2
17:19:34.267,4.4
17:19:35.268,4.4
17:19:36.269,4.0
17:19:37.270,0.9
17:19:38.271,0.3
17:19:39.272,0.2
17:19:40.272,0.2
17:19:41.273,0.2
17:19:42.274,0.2
17:19:43.275,0.2
17:19:44.276,0.2
17:19:45.276,0.2
17:19:46.277,0.2
17:19:47.278,0.3
17:19:48.279,0.2
17:19:49.279,0.4
17:19:50.280,0.2
17:19:51.281,0.2
17:19:52.282,0.2
17:19:53.283,0.2
17:19:54.283,0.2
17:19:55.284,0.2
17:19:56.285,0.2
17:19:57.286,0.2
17:19:58.286,0.2
17:19:59.287,0.2
17:20:00.288,1.3
17:20:01.289,0.2
17:20:02.289,0.3
17:20:03.290,0.3
17:20:04.291,0.2
17:20:05.292,0.2
17:20:06.292,0.2
