time_stamp,cpu_percent
17:06:10.358,0.2
17:06:11.360,0.2
17:06:12.361,0.1
17:06:13.362,0.2
17:06:14.362,0.2
17:06:15.363,1.1
17:06:16.364,0.2
17:06:17.365,0.2
17:06:18.366,0.2
17:06:19.367,0.2
17:06:20.367,0.2
17:06:21.368,0.6
17:06:22.369,0.3
17:06:23.370,0.2
17:06:24.371,0.2
17:06:25.372,0.2
17:06:26.373,0.2
17:06:27.374,0.2
17:06:28.375,0.2
17:06:29.375,0.2
17:06:30.376,0.2
17:06:31.377,0.2
17:06:32.378,0.2
17:06:33.379,0.2
17:06:34.380,0.2
17:06:35.381,0.2
17:06:36.381,0.2
17:06:37.382,0.2
17:06:38.383,0.2
17:06:39.384,0.3
17:06:40.385,2.8
17:06:41.386,2.3
17:06:42.387,5.0
17:06:43.387,5.2
17:06:44.388,5.0
17:06:45.389,4.6
17:06:46.390,5.1
17:06:47.391,4.7
17:06:48.392,4.7
17:06:49.392,4.4
17:06:50.393,4.7
17:06:51.394,4.8
17:06:52.394,5.0
17:06:53.395,4.8
17:06:54.396,4.6
17:06:55.397,4.6
17:06:56.399,4.9
17:06:57.400,3.7
17:06:58.401,0.8
17:06:59.402,0.2
17:07:00.403,0.3
17:07:01.404,0.2
17:07:02.405,0.2
17:07:03.406,0.2
17:07:04.407,0.2
17:07:05.408,0.2
17:07:06.409,0.3
17:07:07.410,0.2
17:07:08.411,0.2
17:07:09.412,0.3
17:07:10.412,0.2
17:07:11.413,0.2
17:07:12.414,0.2
17:07:13.415,0.2
17:07:14.416,0.2
17:07:15.417,1.1
17:07:16.418,0.2
17:07:17.419,0.2
17:07:18.420,0.2
17:07:19.421,0.2
17:07:20.422,0.2
17:07:21.422,0.2
17:07:22.423,0.4
17:07:23.424,0.2
17:07:24.425,0.2
17:07:25.426,0.2
17:07:26.427,0.2
17:07:27.428,0.2
