time_stamp,cpu_percent
16:54:40.390,0.7
16:54:41.392,0.2
16:54:42.393,0.3
16:54:43.393,0.4
16:54:44.393,0.2
16:54:45.394,0.2
16:54:46.394,0.2
16:54:47.395,0.2
16:54:48.395,0.2
16:54:49.396,0.2
16:54:50.397,0.2
16:54:51.398,0.2
16:54:52.399,0.2
16:54:53.399,0.1
16:54:54.400,0.2
16:54:55.401,0.2
16:54:56.402,0.1
16:54:57.403,0.2
16:54:58.404,0.2
16:54:59.405,0.2
16:55:00.405,0.2
16:55:01.406,0.2
16:55:02.407,0.1
16:55:03.408,0.2
16:55:04.409,0.2
16:55:05.410,0.1
16:55:06.411,0.4
16:55:07.411,0.2
16:55:08.412,0.2
16:55:09.413,0.4
16:55:10.414,2.3
16:55:11.415,2.3
16:55:12.415,3.2
16:55:13.416,2.4
16:55:14.417,0.6
16:55:15.418,0.3
16:55:16.419,0.2
16:55:17.420,0.2
16:55:18.421,0.3
16:55:19.421,0.2
16:55:20.422,0.2
16:55:21.423,0.3
16:55:22.424,0.2
16:55:23.425,0.2
16:55:24.426,0.2
16:55:25.426,0.1
16:55:26.427,0.2
16:55:27.428,0.2
16:55:28.429,0.1
16:55:29.429,0.2
16:55:30.429,0.2
16:55:31.430,0.2
16:55:32.430,0.2
16:55:33.430,0.3
16:55:34.431,0.2
16:55:35.431,0.2
16:55:36.432,0.3
16:55:37.432,0.2
16:55:38.433,0.2
16:55:39.433,0.2
16:55:40.433,0.2
16:55:41.434,0.2
16:55:42.434,0.2
16:55:43.434,0.4
