time_stamp,cpu_percent
20:41:14.576,0.4
20:41:15.578,0.2
20:41:16.579,0.2
20:41:17.580,0.2
20:41:18.580,0.2
20:41:19.581,0.2
20:41:20.582,0.2
20:41:21.583,0.7
20:41:22.584,0.2
20:41:23.585,0.2
20:41:24.586,0.2
20:41:25.586,0.2
20:41:26.587,0.2
20:41:27.588,0.2
20:41:28.589,0.2
20:41:29.590,0.2
20:41:30.591,0.2
20:41:31.591,0.2
20:41:32.592,0.2
20:41:33.593,0.2
20:41:34.594,0.3
20:41:35.595,0.2
20:41:36.595,0.3
20:41:37.596,0.2
20:41:38.597,0.4
20:41:39.598,0.3
20:41:40.599,0.3
20:41:41.600,1.0
20:41:42.600,0.2
20:41:43.601,0.3
20:41:44.602,2.8
20:41:45.603,2.3
20:41:46.604,2.6
20:41:47.605,1.5
20:41:48.606,0.2
20:41:49.606,0.2
20:41:50.607,0.2
20:41:51.608,0.2
20:41:52.609,0.2
20:41:53.609,0.2
20:41:54.610,0.2
20:41:55.611,0.2
20:41:56.612,0.2
20:41:57.613,0.2
20:41:58.613,0.2
20:41:59.614,0.3
20:42:00.615,0.2
20:42:01.616,0.2
20:42:02.616,0.2
20:42:03.617,0.2
20:42:04.618,0.2
20:42:05.619,0.2
20:42:06.619,0.2
20:42:07.620,0.2
20:42:08.621,0.2
20:42:09.622,0.3
20:42:10.623,0.3
20:42:11.623,0.2
20:42:12.624,0.2
20:42:13.625,0.2
20:42:14.626,0.2
20:42:15.626,0.2
20:42:16.627,0.2
