time_stamp,cpu_percent
20:47:28.819,0.4
20:47:29.822,0.2
20:47:30.823,0.2
20:47:31.823,0.2
20:47:32.824,0.2
20:47:33.825,0.3
20:47:34.826,0.3
20:47:35.827,0.3
20:47:36.827,0.2
20:47:37.828,0.3
20:47:38.829,0.2
20:47:39.830,0.4
20:47:40.831,0.9
20:47:41.832,0.5
20:47:42.833,0.2
20:47:43.834,0.2
20:47:44.834,0.2
20:47:45.835,0.2
20:47:46.836,0.2
20:47:47.837,0.2
20:47:48.837,0.2
20:47:49.838,0.2
20:47:50.839,0.2
20:47:51.840,0.2
20:47:52.841,0.3
20:47:53.841,0.2
20:47:54.842,0.2
20:47:55.843,0.2
20:47:56.844,0.2
20:47:57.845,0.4
20:47:58.846,3.0
20:47:59.847,2.3
20:48:00.848,2.7
20:48:01.849,1.1
20:48:02.850,0.2
20:48:03.851,0.2
20:48:04.851,0.2
20:48:05.852,0.3
20:48:06.853,0.2
20:48:07.854,0.2
20:48:08.855,0.2
20:48:09.855,0.2
20:48:10.856,0.2
20:48:11.857,0.3
20:48:12.858,0.2
20:48:13.859,0.2
20:48:14.860,0.2
20:48:15.860,0.2
20:48:16.861,0.2
20:48:17.862,0.2
20:48:18.863,0.2
20:48:19.864,0.2
20:48:20.865,0.2
20:48:21.865,0.2
20:48:22.866,0.2
20:48:23.867,0.2
20:48:24.868,0.2
20:48:25.869,0.2
20:48:26.870,0.3
20:48:27.870,0.2
20:48:28.871,0.3
20:48:29.872,0.2
20:48:30.873,0.3
